rank,name,scores_overall,scores_teaching,scores_research,scores_citations,scores_industry_income,scores_international_outlook,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students
601–800,University of Debrecen,37.0–41.8,41.2,22.5,40.7,51.1,59.7,"19,964",12,24%
601–800,De Montfort University,37.0–41.8,17.8,15.1,71,45,93.9,"23,125",18.5,37%
601–800,University of Derby,37.0–41.8,18.5,12.8,71.8,26.5,75,"16,170",15.8,18%
601–800,Duy Tan University,37.0–41.8,12.1,14.2,87.5,17.4,52.5,"23,951",24.3,0%
601–800,East China University of Science and Technology,37.0–41.8,29.9,25.8,60.2,87.1,23.2,"30,974",18,2%
601–800,Eastern Mediterranean University,37.0–41.8,26,15.2,73.8,35.9,75.5,"13,809",25.4,75%
601–800,École Centrale de Lyon,37.0–41.8,36,25.7,32.6,82.5,79.2,"2,286",16.4,24%
601–800,École des Mines de Saint-Étienne,37.0–41.8,44.3,31.4,34.5,77.3,70.6,"1,089",9.8,24%
601–800,École Nationale des Travaux Publics de l'État (ENTPE),37.0–41.8,32.1,37,31.3,80.8,67.7,800,14.8,14%
601–800,Egypt-Japan University of Science and Technology (E-JUST),37.0–41.8,34.2,27.6,62.4,27.7,51.5,"1,751",18.4,3%
601–800,"University of Engineering and Technology, Taxila",37.0–41.8,16.4,12.8,82.6,17.1,48.5,"5,561",19.4,2%
601–800,Universidade Estadual Paulista (Unesp),37.0–41.8,41.5,33.1,38.1,40.5,38.6,"34,828",12.8,4%
601–800,Ewha Womans University,37.0–41.8,37.6,35.3,44.5,82.8,49.6,"13,999",16.7,15%
601–800,Federal University of Rio de Janeiro,37.0–41.8,41.8,36,36.7,81,35.9,"52,534",13.5,1%
601–800,Universidade Federal do Rio Grande do Sul,37.0–41.8,36.4,22.5,54.1,52.9,34.1,"45,760",16.5,1%
601–800,Federation University Australia,37.0–41.8,20.9,17.2,71.3,41.7,85.8,"9,166",16.8,38%
601–800,University of Foggia,37.0–41.8,24.3,24.7,65.5,30.6,30.3,"7,845",33.2,1%
601–800,Gabriele d‘Annunzio University,37.0–41.8,16.3,18.3,71.7,59.9,40.6,"23,336",31.7,2%
601–800,Glasgow Caledonian University,37.0–41.8,20.7,13.9,66.7,46.1,75.6,"14,840",24.1,18%
601–800,Government College University Faisalabad,37.0–41.8,20.8,15,83.4,32.7,48.2,"21,518",26.5,0%
601–800,Guangdong University of Technology,37.0–41.8,17.2,19.3,79.6,63.5,28.4,"48,569",19,0%
601–800,Hacettepe University,37.0–41.8,32.5,26.8,50.4,73.5,27.5,"37,249",19.9,3%
601–800,University of Haifa,37.0–41.8,23.9,30.1,68.4,64.5,34.5,"17,353",18.4,3%
601–800,University of Hail,37.0–41.8,22.1,10.5,72.3,23.5,76.8,"19,400",11.2,3%
601–800,Harokopio University of Athens,37.0–41.8,25.1,27.4,72.9,37.4,41.1,"3,053",44.9,3%
601–800,University of Hertfordshire,37.0–41.8,18.6,13.4,67.2,33.9,91.6,"20,480",16.3,40%
601–800,Hiroshima University,37.0–41.8,39.6,26.4,44.7,68.5,51.5,"14,590",7.6,10%
601–800,Imam Abdulrahman Bin Faisal University,37.0–41.8,27.7,13.9,70.6,20.8,75.3,"23,781",11.3,4%
601–800,Imam Khomeini International University,37.0–41.8,30.6,19.6,72.4,26.7,26.9,"8,156",25.8,5%
601–800,Indian Institute of Technology Guwahati,37.0–41.8,35.5,24.1,52,49.5,28.6,"8,157",18,1%
601–800,Indian Institute of Technology (Indian School of Mines) Dhanbad,37.0–41.8,37.6,24.1,59.7,30,18.4,"6,174",16.7,0%
601–800,Indian Institute of Technology Patna,37.0–41.8,33.2,24.1,70.6,19.8,22.3,"2,375",18.8,1%
601–800,University of Insubria,37.0–41.8,19.7,22.7,80.4,43.2,42.4,"10,244",27.5,5%
601–800,"International Institute of Information Technology, Hyderabad",37.0–41.8,26,21.4,71.7,49.6,39.5,"1,905",18.3,7%
601–800,Iran University of Medical Sciences,37.0–41.8,48.2,16.4,54.5,39.1,38.3,"9,084",8.3,10%
601–800,ISCTE-University Institute of Lisbon,37.0–41.8,26.4,35.7,56.3,55.2,53,"10,353",26.7,17%
601–800,Isfahan University of Technology,37.0–41.8,21.5,26.5,62,75.2,33,"10,529",22.7,1%
601–800,ITMO University,37.0–41.8,34,34.9,40,69,67.1,"10,902",14.6,18%
601–800,Jagiellonian University,37.0–41.8,38.4,29,55.7,46.7,43.4,"34,309",8.8,11%
601–800,Jamia Hamdard University,37.0–41.8,21.1,15,74.8,40.4,41.9,"9,831",18.5,3%
601–800,Jawaharlal Nehru University,37.0–41.8,41.9,24.3,51.8,33.9,23.7,"9,737",16.1,1%
601–800,Jiangsu University,37.0–41.8,25.6,14.1,77.5,51.1,55.1,"35,258",9.4,6%
601–800,Jönköping University,37.0–41.8,20.1,19.2,78.3,28.2,65.7,"6,910",13,13%
601–800,The University of Jordan,37.0–41.8,27.8,13.4,62.7,30.8,67.1,"25,631",10.3,20%
601–800,Jouf University,37.0–41.8,30.5,18.3,58.3,21.3,76.7,"19,006",9.6,3%
601–800,Juntendo University,37.0–41.8,37.6,17.1,59.3,81.4,25.3,"6,579",5,3%
601–800,University of Kaiserslautern,37.0–41.8,38.7,28.7,44.4,83,56.7,"6,912",22,19%
601–800,Kansas State University,37.0–41.8,32.9,20.9,57.4,66.9,57.5,"19,332",13.8,6%
601–800,University of Kashan,37.0–41.8,27.1,19.9,74.7,21.9,24.8,"8,654",28.4,2%
601–800,Kashan University of Medical Sciences and Health Services,37.0–41.8,32.9,15,75.6,17.4,25.3,"3,265",20.5,3%
601–800,Keio University,37.0–41.8,36.9,27,49.2,73.3,38.4,"33,577",10.2,8%
601–800,KIIT University,37.0–41.8,38.5,15.8,61.5,52,39.4,"24,802",12.3,10%
601–800,King Saud bin Abdulaziz University for Health Sciences,37.0–41.8,40.8,21.7,43.6,36.1,64.4,"8,594",13,1%
601–800,Kobe University,37.0–41.8,39.5,27.2,48.1,75.4,39,"15,333",10.2,7%
601–800,Konkuk University,37.0–41.8,32.2,37.6,49.1,73.7,45,"12,805",25.2,15%
601–800,Kurdistan University of Medical Sciences,37.0–41.8,40.8,11.2,67.6,18.8,27.9,"3,229",10.7,2%
601–800,Lehigh University,37.0–41.8,33,22.5,57.6,63.6,73.8,"6,518",11.2,17%
601–800,University of Lille,37.0–41.8,32.5,23.2,58.6,67.2,68,"79,372",31.5,13%
601–800,London South Bank University,37.0–41.8,18.6,12.4,65.9,52.4,92.3,"14,510",17.5,37%
601–800,University of Lorraine,37.0–41.8,27.3,18.9,58,60.6,72.9,"63,803",20,16%
601–800,Louisiana State University,37.0–41.8,32.7,21.4,61.1,63.1,47.8,"31,112",19.4,4%
601–800,Lviv Polytechnic National University,37.0–41.8,22.9,11.3,34.2,18.8,27.1,"22,580",11.9,1%
601–800,Mahidol University,37.0–41.8,39.3,25,46.3,78.6,48.7,"28,790",8.9,5%
601–800,Malaviya National Institute of Technology,37.0–41.8,29.9,15.6,76.5,19.8,20.3,"4,715",17.3,0%
601–800,Universiti Malaysia Pahang,37.0–41.8,27.4,19,67.5,28.3,57.9,"8,331",13.5,8%
601–800,Manipal Academy of Higher Education,37.0–41.8,45,18.5,46.3,44.9,48.3,"23,602",9.1,12%
601–800,Marche Polytechnic University,37.0–41.8,23.2,22.6,75.6,64.9,36,"14,332",28.9,5%
601–800,"University of Maryland, Baltimore County",37.0–41.8,28.8,24.6,61.5,66.8,50.1,"11,668",17.2,11%
601–800,Masaryk University,37.0–41.8,25.9,31,50.1,41.7,66.3,"32,789",18.4,23%
601–800,Mashhad University of Medical Sciences,37.0–41.8,34.9,14.7,63.9,28.5,29.7,"8,666",9,4%
601–800,Mazandaran University of Medical Sciences,37.0–41.8,44.1,12.4,65.6,28.1,24.7,"6,715",12.4,1%
601–800,University of Minho,37.0–41.8,26.3,30.3,59.3,74.7,51.9,"20,001",19.5,13%
601–800,Mississippi State University,37.0–41.8,27.3,20,58.8,66.2,50.7,"21,181",14.6,4%
601–800,Monterrey Institute of Technology,37.0–41.8,24,22.7,61.9,60.1,65.8,"16,693",14.9,12%
601–800,University of Namur,37.0–41.8,24.4,27.2,53.7,62.8,69.7,"6,616",22.2,12%
601–800,Nanjing University of Aeronautics and Astronautics,37.0–41.8,28.2,31.6,50.1,71.4,24.7,"33,883",15.4,3%
601–800,Nanjing Forestry University,37.0–41.8,22.6,21.2,79.4,28.7,28,"32,345",16.5,1%
601–800,Nanjing Tech University,37.0–41.8,21.8,16.2,69.1,68.1,37.1,"38,866",13.5,3%
601–800,National Institute of Applied Sciences of Lyon (INSA Lyon),37.0–41.8,37.2,27,38.3,93.8,75.1,"6,130",18.7,29%
601–800,National University of Sciences and Technology,37.0–41.8,25.1,19.4,71.2,34.9,55.1,"12,212",9.3,5%
601–800,National University of Science and Technology (MISiS),37.0–41.8,39.1,27.1,43.2,64.1,65.6,"7,198",12,21%
601–800,National Sun Yat-Sen University,37.0–41.8,28.2,33.7,43.8,79.1,47.2,"8,497",12.6,9%
601–800,National Technical University of Athens,37.0–41.8,26.3,23,59.1,59.7,38.1,"13,532",20.3,6%
601–800,National Institute of Technology Rourkela,37.0–41.8,30.6,20.2,64.7,29.9,23.1,"7,661",20.6,4%
601–800,National Institute of Technology Silchar,37.0–41.8,32.4,19.5,71.7,18.4,20.5,"4,704",16.3,2%
601–800,Near East University,37.0–41.8,25.9,18.8,66.6,49.9,86.8,"23,137",29.2,86%
601–800,"University of Nevada, Las Vegas",37.0–41.8,29.3,25.6,64.7,51.5,38.3,"26,730",23.2,4%
601–800,University of New Brunswick UNB,37.0–41.8,24.3,25,62.4,64,81.1,"8,308",15,14%
601–800,University of North Carolina at Charlotte,37.0–41.8,23.2,22.1,74.4,58.7,37,"26,819",20.6,6%
601–800,"Northeastern University, China",37.0–41.8,31.5,28.1,57.8,73.7,46.7,"39,996",13.2,3%
601–800,Northern Illinois University,37.0–41.8,26.3,15.9,60,60.4,62.8,"13,248",14.3,6%
601–800,North-West University,37.0–41.8,22.7,18.7,64.3,48,56.6,"39,684",25.5,3%
601–800,Norwegian University of Life Sciences,37.0–41.8,32.1,14.7,64,36.5,70.8,"7,275",8.2,12%
601–800,Novosibirsk State University,37.0–41.8,42.2,36.6,31.6,40.7,51.9,"7,264",6.6,20%
601–800,Ohio University (Main campus),37.0–41.8,30.6,20.1,61.2,54.7,37.2,"20,948",19.9,4%
601–800,Oklahoma State University,37.0–41.8,34.1,20.9,60.8,65.8,56,"21,239",14.1,5%
601–800,Old Dominion University,37.0–41.8,26.1,20.4,61.2,64,38.1,"18,725",18.2,2%
601–800,Ontario Tech University,37.0–41.8,18.8,25,63.5,51.9,63.2,"9,449",30.1,8%
601–800,The Open University,37.0–41.8,17.7,16.1,68.7,52.6,63.6,"81,570",33.5,8%
601–800,Open University of Catalonia,37.0–41.8,18.4,18.2,75.9,29.7,51,"33,296",96.5,6%
601–800,Örebro University,37.0–41.8,20.1,22.5,77.9,43.8,54.6,"10,132",15.6,5%
601–800,Otto von Guericke University of Magdeburg,37.0–41.8,33.4,18,54.4,51.4,74.5,"13,562",11.2,26%
601–800,Oxford Brookes University,37.0–41.8,25.1,21.1,62.5,29.1,87.9,"13,860",14,25%
601–800,University of Palermo,37.0–41.8,18.9,22.5,69.8,47.2,34.8,"33,972",22,1%
601–800,Panjab University,37.0–41.8,32.6,16.2,67.9,39.2,23.5,"19,695",18.6,1%
601–800,University of Parma,37.0–41.8,19.4,22.6,72.2,65.9,38.7,"29,840",33.4,6%
601–800,Parthenope University of Naples,37.0–41.8,18.5,22.6,78.2,25.6,32.2,"11,126",32.4,1%
601–800,Universiti Pendidikan Sultan Idris,37.0–41.8,35.3,25.2,38.8,62.3,70.8,"5,920",9.8,20%
601–800,Universitat Politècnica de Catalunya,37.0–41.8,31.2,21,57.3,69.7,61.4,"23,272",9.8,13%
601–800,Polytechnic University of Valencia,37.0–41.8,30,25,55.4,83.2,57.6,"26,967",14.5,14%
601–800,Prince Sattam Bin Abdulaziz University,37.0–41.8,21.3,12,80.8,23.5,75.8,"26,740",11.9,2%
601–800,Princess Nourah bint Abdulrahman University,37.0–41.8,26.7,16.3,66.1,28.3,91.7,"22,552",12.1,17%
601–800,Qazvin University of Medical Sciences,37.0–41.8,38.7,11.6,71.9,18.7,26.5,480,1.6,2%
601–800,Qingdao University,37.0–41.8,17.8,18.4,84.1,40,24.4,"42,668",15.1,1%
601–800,Universitat Ramon Llull,37.0–41.8,20.7,18.2,70.3,32.1,72.6,"15,125",22.6,20%
601–800,Reykjavík University,37.0–41.8,15.6,24,76.1,28.7,64.4,"2,940",24.2,10%
601–800,University of Rhode Island,37.0–41.8,26.3,20.5,57.4,50,53.7,"15,886",14.5,3%
601–800,University of Rome III,37.0–41.8,23.1,25.3,58.3,49.5,45.4,"33,611",46.5,5%
601–800,Roskilde University,37.0–41.8,21.9,33.4,55.5,76.1,54.6,"6,050",15.8,15%
601–800,RUDN University,37.0–41.8,39.1,23,46.1,21,70.4,"22,866",15.6,32%
601–800,Saint-Petersburg Mining University,37.0–41.8,29.7,16.9,69.3,50.4,43.1,"8,345",13.4,12%
601–800,University of Salento,37.0–41.8,30.1,21.8,64.5,52.2,34.5,"14,304",24.7,2%
601–800,University of Sannio,37.0–41.8,23.6,20.5,63.6,71.1,29.3,"2,751",13.4,1%
601–800,University of Santiago de Compostela,37.0–41.8,29.7,21.1,58.7,69.6,46.6,"24,872",14.6,6%
601–800,University of Sassari,37.0–41.8,31.1,24.7,66.3,45.7,41.9,"15,207",38.1,2%
601–800,Saveetha Institute of Medical and Technical Sciences,37.0–41.8,31.7,10.2,77.8,17.3,58.9,"11,919",7.1,1%
601–800,Shahid Beheshti University of Medical Sciences,37.0–41.8,45.1,22.9,49.9,63.5,27.1,"12,057",8,4%
601–800,University of Siegen,37.0–41.8,27.4,26.9,60.7,46.2,62.7,"13,856",29.9,13%
601–800,South China Normal University,37.0–41.8,22.9,21.7,63.9,51.4,37.4,"33,133",18.9,3%
601–800,South Ural State University,37.0–41.8,23.2,13.5,74.7,24.7,54.5,"15,354",11,11%
601–800,SRUC (Scotland’s Rural College),37.0–41.8,25.3,12.8,79.3,26.9,64.8,"1,465",5.5,8%
601–800,University of Stavanger,37.0–41.8,24.7,15.6,66.6,30.2,74.4,"11,428",10.5,13%
601–800,Sultan Qaboos University,37.0–41.8,28.1,22.2,62.3,35.7,74,"7,512",9.2,4%
601–800,Sunway University,37.0–41.8,24.7,14.6,71.7,17.2,78.3,"4,350",8.1,14%
601–800,SUNY Binghamton University,37.0–41.8,30.7,22,61.1,62.8,42.7,"18,976",22.1,8%
601–800,Tallinn University of Technology,37.0–41.8,25.7,20.6,65.7,48.1,69.1,"8,521",11.4,14%
601–800,Tehran University of Medical Sciences,37.0–41.8,50,18.5,54.3,45.1,37.5,"11,742",6.2,12%
601–800,Universiti Tenaga Nasional (UNITEN),37.0–41.8,25.1,16.8,58,70.8,60.8,"4,300",9,19%
601–800,University of Texas at Arlington,37.0–41.8,25.2,20.5,65.5,62.9,55,"40,412",31.9,11%
601–800,Texas Tech University,37.0–41.8,30.7,20.9,56.9,58,58.9,"37,331",21.1,6%
601–800,Thapar Institute of Engineering and Technology,37.0–41.8,24.3,11.9,84.8,23,28.7,"10,647",15.1,1%
601–800,University of Toledo,37.0–41.8,35.7,16.7,54.5,68.8,56.7,"16,199",17,9%
601–800,Ton Duc Thang University,37.0–41.8,12.9,16,90.6,20.9,63.1,"28,400",21.9,1%
601–800,Toronto Metropolitan University,37.0–41.8,19.5,32.3,57.3,70.3,62.1,"39,142",42.8,9%
601–800,University of Tuscia,37.0–41.8,21.4,22.6,77.3,54.9,43.2,"6,223",20,4%
601–800,University of Udine,37.0–41.8,28.5,20.2,73.1,61.1,41.8,"13,023",19.3,5%
601–800,Ulster University,37.0–41.8,21.3,22.4,62,50.1,82.4,"19,825",20.1,10%
601–800,Umm Al-Qura University,37.0–41.8,33.3,14.4,62.2,53.2,73.1,"35,180",9.6,7%
601–800,Paris Lodron Universität Salzburg,37.0–41.8,31.6,23.4,55,45.8,93.4,"6,307",10,35%
601–800,Urmia University of Medical Sciences,37.0–41.8,35.3,11.7,69.3,17.8,25.2,"4,556",12.4,5%
601–800,VIT University,37.0–41.8,27.9,15.6,68.3,28.9,46.2,"37,686",18.8,5%
601–800,University of Warsaw,37.0–41.8,33.1,29.9,55.6,37.1,45.6,"34,342",10.9,9%
601–800,University of the Western Cape,37.0–41.8,22,23.8,59.3,22.6,65.7,"24,605",36.7,6%
601–800,University of the West of Scotland,37.0–41.8,24.4,16,66.5,24.2,86.9,"14,005",24.6,25%
601–800,William & Mary,37.0–41.8,38.4,21.7,62.2,37.1,39.1,"8,253",11.3,7%
601–800,University of Wolverhampton,37.0–41.8,19.1,14.7,64.7,40.7,81.1,"15,115",16.7,28%
601–800,Worcester Polytechnic Institute,37.0–41.8,30,22.1,61.2,61.8,57.2,"5,834",13,14%
601–800,Wroclaw Medical University,37.0–41.8,40.7,13.3,66.9,36.5,37.7,"8,014",10.9,14%
601–800,University of Wyoming,37.0–41.8,35.9,20.3,62.1,58.6,37.7,"10,174",14.1,4%
601–800,Xi’an Jiaotong-Liverpool University,37.0–41.8,18.6,15.1,70.8,20.9,77.3,"19,535",19.9,4%
601–800,Xidian University,37.0–41.8,24.3,25,61,77.5,25.9,"37,660",15.3,1%
601–800,Yeungnam University,37.0–41.8,24.1,18,66.8,47,54.9,"19,063",14.7,5%
601–800,Zhejiang Normal University,37.0–41.8,20.3,19,75.4,54.1,35.6,"28,884",12.2,5%
601–800,Zhengzhou University,37.0–41.8,18.7,19.8,82.5,35.8,25.2,"74,052",15.6,4%
801–1000,University of the Aegean,32.7–36.9,18.3,21.9,54.4,80,33.9,"20,139",63.5,1%
801–1000,Ahvaz Jundishapur University of Medical Sciences (AJUMS),32.7–36.9,38.1,10.7,58.1,20.1,21.8,"8,987",11.7,3%
801–1000,Al-Azhar University,32.7–36.9,19.2,10.9,69.2,20.4,57.4,"269,733",22,9%
801–1000,University of Alcalá,32.7–36.9,27.8,15.1,55,41.9,64.4,"16,260",10.4,24%
801–1000,Alexandria University,32.7–36.9,17.9,17.7,58.2,27.2,51.4,"205,777",28.7,4%
801–1000,University of Algarve,32.7–36.9,18.5,19.5,52.3,25.3,66.4,"8,878",15,19%
801–1000,American University in Cairo,32.7–36.9,26.7,24,51.1,23,70.3,"6,034",14.2,4%
801–1000,Amity University,32.7–36.9,23.6,14,62.3,20,31.1,"30,989",17.1,7%
801–1000,Amrita Vishwa Vidyapeetham,32.7–36.9,28.4,20.5,60.8,41.1,36.9,"22,085",11.8,5%
801–1000,"University of the Andes, Colombia",32.7–36.9,24.4,19.6,48.4,28.5,60.8,"15,951",13.5,2%
801–1000,Arak University of Medical Sciences,32.7–36.9,31.7,10.2,66.4,18.9,21.2,"3,545",7.4,2%
801–1000,Aristotle University of Thessaloniki,32.7–36.9,22.3,16.8,66.3,52.7,38.1,"49,654",18.2,5%
801–1000,Arts et Métiers,32.7–36.9,31.1,19.5,35.2,67.7,67,"5,970",16.3,12%
801–1000,Aswan University,32.7–36.9,16.7,12.1,75.6,18.4,50.4,"35,992",45.4,1%
801–1000,Athens University of Economics and Business,32.7–36.9,18.1,23.6,53.3,57.8,44.5,"10,477",53.7,5%
801–1000,Bahçeşehir University,32.7–36.9,19.5,24.4,59.4,39.6,61.2,"18,795",47.9,22%
801–1000,Bahria University,32.7–36.9,14.2,9.7,77.3,16.2,48.7,"20,224",20.3,1%
801–1000,University of the Balearic Islands,32.7–36.9,26.8,15.1,56.4,32,58.1,"12,276",9.4,8%
801–1000,University of Belgrade,32.7–36.9,21.3,27,49.4,34,42.3,"91,494",18.2,5%
801–1000,University of Bergamo,32.7–36.9,19.4,21.2,59.6,33.3,37.5,"21,846",54.8,7%
801–1000,"Birla Institute of Technology and Science, Pilani",32.7–36.9,23.7,17,67.4,31.7,25.1,"16,339",16.2,2%
801–1000,BRAC University,32.7–36.9,14.8,12.3,71.1,15.7,42.2,"13,027",16.9,1%
801–1000,Université de Bretagne Occidentale,32.7–36.9,20.3,19.6,52,47.8,60.5,"23,163",33.1,11%
801–1000,University of Brighton,32.7–36.9,19.8,16.5,53.9,60.9,84.4,"14,525",18,22%
801–1000,Bucharest University of Economic Studies,32.7–36.9,19.7,11.6,75.9,20.8,27.8,"23,419",16.3,4%
801–1000,Cairo University,32.7–36.9,25,18.5,59.9,39.2,45.4,"202,915",30.9,5%
801–1000,University of Camerino (Unicam),32.7–36.9,18,17.6,58.6,60,53,"8,586",30.1,9%
801–1000,Carlos III University of Madrid,32.7–36.9,29.5,20.8,42.9,66.9,60,"18,722",11.2,12%
801–1000,University of Castilla-La Mancha,32.7–36.9,24.2,17.2,53.7,46.3,42,"23,045",12.8,7%
801–1000,Catholic University of Portugal,32.7–36.9,19.6,18.7,64.4,25.6,55.7,"11,543",22.2,17%
801–1000,Changsha University of Science and Technology,32.7–36.9,16.8,13.5,76.5,41.6,27.9,"35,014",16,1%
801–1000,Chapman University,32.7–36.9,36.9,14.7,48.1,59.2,46.8,"9,231",12,7%
801–1000,Charles Sturt University,32.7–36.9,18.5,17.9,55.1,58,66.3,"21,133",24.6,13%
801–1000,Institute of Chemical Technology,32.7–36.9,37.5,20.7,51,57.9,17.4,"2,550",17.2,0%
801–1000,Chengdu University,32.7–36.9,18.5,14.5,74.1,28.5,28.2,"24,154",16.3,2%
801–1000,Chiang Mai University,32.7–36.9,28.5,19.1,46.3,58.1,39.5,"33,649",13.6,4%
801–1000,Chiba University,32.7–36.9,33.2,20.9,42,68.9,33.9,"13,832",8.9,6%
801–1000,University of Chile,32.7–36.9,25.9,19.8,50.5,57.4,52.9,"39,510",16.4,5%
801–1000,China University of Petroleum (East China),32.7–36.9,22.2,23,54.3,68.2,23.8,"29,292",17,2%
801–1000,Chonnam National University,32.7–36.9,28.5,28.3,43.6,57.5,32.8,"22,051",17.7,7%
801–1000,Chungnam National University,32.7–36.9,29.9,29.7,34.9,71.7,26,"20,334",19.8,4%
801–1000,Clarkson University,32.7–36.9,29.9,18,41.2,67.4,63.3,"3,871",15.5,8%
801–1000,University of Clermont Auvergne,32.7–36.9,21.8,18.1,54.2,61.6,68.3,"37,049",21.2,15%
801–1000,University of la Costa,32.7–36.9,13.2,10.7,74.2,16.3,54.9,"12,000",18.1,1%
801–1000,Covenant University,32.7–36.9,24.7,24.4,56.6,24.2,54.3,"8,940",17.5,0%
801–1000,CY Cergy Paris University,32.7–36.9,23.8,25.3,44.4,56.6,92.7,"16,082",19.5,26%
801–1000,Czech University of Life Sciences Prague (CZU),32.7–36.9,20.1,15.4,50.8,50.2,76.4,"19,126",18.3,26%
801–1000,Damietta University,32.7–36.9,16.4,9.4,73,17.4,46.1,"32,299",33.9,1%
801–1000,University of Delhi,32.7–36.9,40.4,24.2,39,40.5,23.3,"29,532",23.8,1%
801–1000,Delhi Technological University,32.7–36.9,16.9,20.1,76.7,28.5,19.7,"12,730",23.4,3%
801–1000,University of Deusto,32.7–36.9,22.5,23.2,54.3,36.6,42.3,"9,570",18.8,6%
801–1000,University of Dhaka,32.7–36.9,17.5,10,68.8,18.1,48.5,"216,258",15.3,3%
801–1000,Eötvös Loránd University,32.7–36.9,28.6,19.2,57.3,33.4,51.3,"30,414",17.8,11%
801–1000,Federal University of Minas Gerais,32.7–36.9,40.2,23.3,43.3,50.8,33.4,"42,080",13.5,1%
801–1000,Universidade Federal de Santa Catarina,32.7–36.9,32.5,21.6,41.6,64.2,35.3,"42,576",17.7,2%
801–1000,Universidade Federal de São Paulo (UNIFESP),32.7–36.9,33.2,22.5,48.2,47.2,35.2,"19,803",11.3,1%
801–1000,Ferdowsi University of Mashhad,32.7–36.9,28.6,26.8,48.2,45.4,38.6,"25,009",30.5,11%
801–1000,Florida Atlantic University,32.7–36.9,22.5,21.9,57.3,57.6,51.8,"25,031",19.8,6%
801–1000,Florida Institute of Technology,32.7–36.9,29,16.4,45.2,54.8,80.4,"5,434",15.9,20%
801–1000,University of the Free State,32.7–36.9,22.4,18.7,56.4,26.9,51.7,"33,247",35.6,2%
801–1000,Fuzhou University,32.7–36.9,18.9,16.5,71.5,53.2,36.7,"42,106",17.4,1%
801–1000,University of Girona,32.7–36.9,20.8,22.4,56.3,55,56.8,"14,158",21,14%
801–1000,University of Gloucestershire,32.7–36.9,17.4,14,57.6,34.5,65.7,"6,880",17,12%
801–1000,Gorgan University of Agricultural Sciences and Natural Resources,32.7–36.9,15.8,11.3,78,34.2,35.7,"3,980",21.5,1%
801–1000,Guangzhou University,32.7–36.9,19.4,12.7,77.1,22.4,35.9,"37,527",17.5,0%
801–1000,Guangzhou Medical University,32.7–36.9,24.2,10.2,72.5,26.6,28.5,"14,728",1.7,2%
801–1000,Guilan University of Medical Sciences,32.7–36.9,38.2,10.4,63.7,16.6,21.9,"5,472",11.5,1%
801–1000,Harbin Engineering University,32.7–36.9,28.1,30.6,43.6,64.9,24.4,"33,528",19.8,2%
801–1000,Hazara University Mansehra,32.7–36.9,27.1,10.7,70.9,16.7,49,"11,056",21.3,0%
801–1000,Howard University,32.7–36.9,48,18.8,41.6,39.8,39.3,"10,199",9.7,5%
801–1000,University of Ibadan,32.7–36.9,27.6,14.4,59.3,24.4,41,"41,269",19.7,0%
801–1000,Ilam University of Medical Sciences,32.7–36.9,30.8,12,65.7,17.2,23.4,"2,854",13.2,5%
801–1000,"Indian Institute of Science Education and Research, Pune",32.7–36.9,42.9,25.1,35.7,25.4,38.9,"1,654",11.1,0%
801–1000,Indian Institute of Technology Gandhinagar,32.7–36.9,41.1,27.2,39,26.5,29.6,"1,848",14.9,0%
801–1000,University of Indonesia,32.7–36.9,45.5,23.1,29.2,51.9,60.3,"41,222",7.9,14%
801–1000,Indraprastha Institute of Information Technology Delhi,32.7–36.9,22.8,16,66.2,57.8,44.6,"2,714",23.4,5%
801–1000,Inha University,32.7–36.9,31.2,27.2,41.7,83.9,38.8,"16,035",19.2,8%
801–1000,Universitat Internacional de Catalunya,32.7–36.9,22.8,17.6,57,21.2,65.9,"5,121",12.9,27%
801–1000,"International Islamic University, Islamabad",32.7–36.9,17.3,11.2,72.7,17.6,60,"23,650",21.8,7%
801–1000,Isfahan University of Medical Sciences,32.7–36.9,45.6,13.6,47,25.6,25.4,"10,944",10.2,3%
801–1000,Islamia College Peshawar,32.7–36.9,21.4,11.1,62.9,17.1,55.6,"6,738",24.4,3%
801–1000,University of Jaén,32.7–36.9,20.7,18.8,64.2,41,45.4,"13,321",16.1,7%
801–1000,Jahangirnagar University,32.7–36.9,24.1,8.9,71.9,19.5,49.7,"12,649",17.3,0%
801–1000,Jaume I University,32.7–36.9,23,20.5,56.5,47.7,45.7,"12,194",15.2,10%
801–1000,Jawaharlal Nehru Technological University Anantapur (JNTUA),32.7–36.9,28.9,14.1,60.7,17.5,19.6,"6,175",18.1,0%
801–1000,Jaypee University of Information Technology,32.7–36.9,23.2,16.5,70.6,22.5,23.8,"1,851",18.5,2%
801–1000,Jazan University,32.7–36.9,21,9.9,67.3,19.4,77.4,"23,176",12.4,4%
801–1000,Jeonbuk National University,32.7–36.9,30.2,27.3,45,68.1,34.1,"20,118",19.6,7%
801–1000,Jiangnan University,32.7–36.9,24.7,22.4,60.2,76.6,24,"31,018",12.9,1%
801–1000,Jordan University of Science and Technology,32.7–36.9,19.8,13.6,67.3,40.8,61.1,"21,161",13.3,17%
801–1000,JSS Academy of Higher Education and Research,32.7–36.9,39.7,10.6,51.9,22,51.8,"8,315",9.5,8%
801–1000,Kafrelsheikh University,32.7–36.9,14.7,9.1,76.2,20,51.9,"72,606",28.7,2%
